,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,movavg14day,stddiv14day,uppbound,lowbound,Call
422,IDFC,EQ,23-Jan-2019,42.4,42.25,42.95,42.2,42.6,42.5,42.58,1807858,76974881.65,3961,413981,22.9,43.06857142857141,0.7879560427309659,44.64448351403334,41.49265934310948,Hold Buy/ Liquidate Short
423,IDFC,EQ,24-Jan-2019,42.5,42.6,42.75,42.2,42.3,42.45,42.43,1053049,44679221.55,2666,292627,27.79,43.0585714285714,0.7956212583979304,44.64981394536726,41.46732891177554,Hold Buy/ Liquidate Short
424,IDFC,EQ,25-Jan-2019,42.45,42.35,43.1,40.5,40.8,40.8,41.73,6941009,289672943.6,10533,3271758,47.14,42.84071428571426,0.6998072733129906,44.240328832340246,41.44109973908828,Buy
425,IDFC,EQ,28-Jan-2019,40.8,40.6,40.75,39.7,39.75,39.95,40.01,2550938,102058682.7,7556,902897,35.39,42.55714285714283,0.9589932908366514,44.47512943881613,40.639156275469524,Buy
426,IDFC,EQ,29-Jan-2019,39.95,39.5,40.45,38.95,39.25,39.1,39.46,5458668,215384670.6,5939,3140441,57.53,42.278571428571404,1.2346588263905238,44.747889081352454,39.80925377579035,Buy
427,IDFC,EQ,30-Jan-2019,39.1,39.35,39.55,38.5,38.65,38.7,38.83,1664668,64632441.0,5900,655916,39.4,41.972142857142835,1.5111644953047891,44.994471847752415,38.949813866533255,Buy
428,IDFC,EQ,31-Jan-2019,38.7,38.8,39.9,38.2,39.75,39.6,39.16,3827805,149888434.3,7126,1135707,29.67,41.75142857142855,1.6833111012935011,45.11805077401555,38.384806368841545,Buy
429,IDFC,EQ,01-Feb-2019,39.6,39.75,39.85,38.35,38.75,38.6,39.01,3261181,127210421.15,7838,852494,26.14,41.52214285714283,1.8270580748276488,45.17625900679813,37.86802670748754,Buy
430,IDFC,EQ,04-Feb-2019,38.6,39.0,39.0,36.4,36.9,36.9,37.12,3636501,134978952.8,8058,963800,26.5,41.10714285714283,2.119170478391314,45.34548381392546,36.868801900360204,Buy
431,IDFC,EQ,05-Feb-2019,36.9,36.7,37.75,36.0,36.6,36.75,36.8,3115064,114633536.75,6059,645475,20.72,40.612857142857116,2.2648736713676922,45.1426044855925,36.08310980012173,Hold Buy/ Liquidate Short
432,IDFC,EQ,06-Feb-2019,36.75,36.55,37.0,35.05,36.95,36.95,36.24,3856286,139733602.7,7547,1030124,26.71,40.07999999999997,2.358320784600519,44.79664156920101,35.36335843079893,Hold Buy/ Liquidate Short
433,IDFC,EQ,07-Feb-2019,36.95,37.4,38.45,36.45,38.15,38.2,37.5,5941342,222791225.35,12254,1517675,25.54,39.669999999999966,2.2637477434899376,44.19749548697984,35.14250451302009,Hold Buy/ Liquidate Short
434,IDFC,EQ,08-Feb-2019,38.2,37.95,38.2,37.1,37.45,37.55,37.62,3435942,129275586.55,10676,800673,23.3,39.319285714285684,2.164754256032996,43.648794226351676,34.98977720221969,Hold Buy/ Liquidate Short
435,IDFC,EQ,11-Feb-2019,37.55,38.5,38.5,36.9,37.25,37.35,37.36,10455201,390656775.95,32805,2785507,26.64,38.989285714285685,2.078366460193958,43.1460186346736,34.83255279389777,Hold Buy/ Liquidate Short
436,IDFC,EQ,12-Feb-2019,37.35,37.5,37.55,35.4,35.95,35.7,36.28,5060308,183608596.4,12017,1900679,37.56,38.539285714285676,1.916866289971331,42.37301829422834,34.70555313434301,Hold Buy/ Liquidate Short
437,IDFC,EQ,13-Feb-2019,35.7,35.85,36.35,34.85,34.9,35.2,35.54,5152821,183126806.95,11795,1998828,38.79,38.04714285714282,1.7149587506659314,41.47706035847469,34.61722535581096,Hold Buy/ Liquidate Short
438,IDFC,EQ,14-Feb-2019,35.2,35.1,35.85,34.45,35.45,35.45,35.03,4828455,169156651.95,12328,2014053,41.71,37.56857142857139,1.5334067509106837,40.63538493039275,34.501757926750024,Hold Buy/ Liquidate Short
439,IDFC,EQ,15-Feb-2019,35.45,35.75,36.15,34.5,35.1,35.2,35.26,5101985,179901487.1,15981,1838765,36.04,37.22928571428567,1.476083509654776,40.18145273359522,34.277118694976124,Hold Buy/ Liquidate Short
440,IDFC,EQ,18-Feb-2019,35.2,35.15,36.2,34.6,35.05,35.1,35.52,2829180,100478503.35,8797,752367,26.59,36.9478571428571,1.3912207067706108,39.730298556398324,34.16541572931588,Hold Buy/ Liquidate Short
441,IDFC,EQ,19-Feb-2019,35.1,35.0,35.55,31.6,35.15,35.05,35.09,2538983,89100317.35,5701,720722,28.39,36.680714285714245,1.360754679104795,39.40222364392383,33.95920492750466,Hold Buy/ Liquidate Short
442,IDFC,EQ,20-Feb-2019,35.05,34.55,36.1,34.55,35.85,35.65,35.54,6371919,226456479.5,13445,2994972,47.0,36.422142857142816,1.1861325556457702,38.794407968434356,34.049877745851276,Hold Buy/ Liquidate Short
443,IDFC,EQ,21-Feb-2019,35.65,35.5,36.3,35.4,36.2,36.1,35.87,3363781,120646427.35,17768,1485144,44.15,36.1978571428571,0.9279189169781307,38.05369497681336,34.342019308900845,Hold Buy/ Liquidate Short
444,IDFC,EQ,22-Feb-2019,36.1,36.8,37.35,36.0,37.15,37.15,36.9,5807252,214264692.8,25682,2205138,37.97,36.182142857142814,0.9128415362657545,38.007825929674325,34.3564597846113,Hold Buy/ Liquidate Short
445,IDFC,EQ,25-Feb-2019,37.15,37.0,37.55,36.8,37.4,37.4,37.24,3208036,119454260.95,15686,1232351,38.41,36.213571428571385,0.9428321258764822,38.09923568032435,34.32790717681842,Hold Buy/ Liquidate Short
446,IDFC,EQ,26-Feb-2019,37.4,37.4,37.4,36.6,37.05,37.05,37.04,5565557,206140938.7,21350,2739241,49.22,36.27071428571424,0.968452089962014,38.20761846563827,34.333810105790214,Hold Buy/ Liquidate Short
447,IDFC,EQ,27-Feb-2019,37.05,37.2,37.9,37.05,37.2,37.35,37.51,5131399,192481380.3,10366,2335873,45.52,36.27142857142853,0.9694316903217803,38.21029195207209,34.33256519078497,Hold Buy/ Liquidate Short
448,IDFC,EQ,28-Feb-2019,37.35,37.8,37.8,36.25,36.8,36.55,36.89,6084791,224491427.55,11055,2770935,45.54,36.21928571428567,0.9090693828633167,38.037424480012305,34.40114694855903,Hold Buy/ Liquidate Short
449,IDFC,EQ,01-Mar-2019,36.55,36.85,40.4,36.85,40.1,40.15,39.14,8920229,349152580.15,15219,2026397,22.72,36.346428571428525,1.1683756452245926,38.68317986187771,34.00967728097934,Hold Buy/ Liquidate Short
450,IDFC,EQ,05-Mar-2019,40.15,40.1,41.8,40.1,41.7,41.55,41.0,6799514,278779643.85,17947,1907499,28.05,36.68357142857138,1.705338257188546,40.09424794294848,33.27289491419429,Short
451,IDFC,EQ,06-Mar-2019,41.55,41.55,42.3,40.45,41.15,40.85,41.25,5692725,234851191.7,16124,1870816,32.86,37.09142857142853,2.0572941794166404,41.20601693026181,32.97684021259525,Hold Buy/ Liquidate Short
452,IDFC,EQ,07-Mar-2019,40.85,40.4,41.3,39.8,39.95,40.0,40.48,6867056,277948689.3,10323,2329473,33.92,37.48071428571425,2.1507296231953754,41.782173532105,33.1792550393235,Hold Buy/ Liquidate Short
453,IDFC,EQ,08-Mar-2019,40.0,39.9,40.4,39.0,39.2,39.2,39.42,3912203,154209374.15,7611,1430088,36.55,37.7778571428571,2.1072482186366264,41.992353580130356,33.56336070558385,Hold Buy/ Liquidate Short
454,IDFC,EQ,11-Mar-2019,39.2,39.9,41.9,39.45,41.6,41.35,41.25,8182864,337517195.05,15401,2707891,33.09,38.18714285714282,2.189820605829717,42.56678406880225,33.807501645483384,Short
455,IDFC,EQ,12-Mar-2019,41.35,41.5,42.4,41.45,41.9,42.05,41.88,6831642,286075254.5,10653,2709810,39.67,38.672142857142816,2.202984613834899,43.078112084812616,34.266173629473016,Short
456,IDFC,EQ,13-Mar-2019,42.05,42.0,42.5,40.9,41.6,41.35,41.66,7392616,308009220.55,8236,1706600,23.09,39.10928571428567,2.139958534054939,43.38920278239554,34.829368646175794,Hold Short/ Liquidate Buy
457,IDFC,EQ,14-Mar-2019,41.35,41.4,42.25,41.15,42.2,41.95,41.73,3418739,142661344.4,6280,1072420,31.37,39.5278571428571,2.0277846137009776,43.583426370259055,35.47228791545515,Hold Short/ Liquidate Buy
458,IDFC,EQ,15-Mar-2019,41.95,42.55,45.25,42.1,43.95,44.3,44.26,21880421,968354297.4,36638,8307214,37.97,40.05357142857139,2.237325350787556,44.5282221301465,35.57892072699627,Short
459,IDFC,EQ,18-Mar-2019,44.3,44.5,44.85,42.85,43.6,43.55,43.84,7186175,315042798.75,27416,2217285,30.85,40.52499999999996,2.293511751408315,45.11202350281659,35.937976497183335,Short
460,IDFC,EQ,19-Mar-2019,43.55,44.05,45.35,43.65,44.7,44.8,44.65,5823008,260026030.75,26194,2052895,35.25,41.06857142857139,2.3057848893697304,45.68014120731085,36.45700164983193,Short
461,IDFC,EQ,20-Mar-2019,44.8,44.5,44.8,43.8,44.5,44.5,44.33,3578606,158650760.75,8418,1268017,35.43,41.55571428571425,2.2147676185996095,45.98524952291347,37.126179048515034,Short
462,IDFC,EQ,22-Mar-2019,44.5,44.5,44.9,43.4,43.65,43.7,44.14,3359735,148288797.3,7440,978340,29.12,42.07357142857139,1.8589227945360418,45.791417017643475,38.35572583949931,Hold Short/ Liquidate Buy
463,IDFC,EQ,25-Mar-2019,43.7,43.85,43.9,42.8,43.0,42.95,43.29,3423091,148185373.6,6083,1280369,37.4,42.36999999999996,1.6771404234594367,45.72428084691884,39.015719153081086,Hold Short/ Liquidate Buy
464,IDFC,EQ,26-Mar-2019,42.95,43.0,44.9,43.0,44.9,44.75,44.39,6551173,290806692.6,16282,1709214,26.09,42.61214285714282,1.708553948053228,46.02925075324928,39.19503496103636,Hold Short/ Liquidate Buy
465,IDFC,EQ,27-Mar-2019,44.75,45.0,46.95,44.6,46.2,46.25,45.87,12734546,584074153.25,28126,4599860,36.12,42.94214285714282,1.864292724504122,46.67072830615106,39.21355740813458,Hold Short/ Liquidate Buy
466,IDFC,EQ,28-Mar-2019,46.25,46.2,47.45,45.85,47.3,46.9,46.73,12206959,570460966.8,23548,5476328,44.86,43.38857142857139,1.9744165920905543,47.3374046127525,39.43973824439028,Hold Short/ Liquidate Buy
467,IDFC,EQ,29-Mar-2019,46.9,47.1,48.1,46.3,46.4,46.55,47.13,7553360,355975547.95,15915,2966744,39.28,43.93928571428568,1.8539125540983086,47.6471108224823,40.231460606089065,Hold Short/ Liquidate Buy
