Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Jan 28, 2019",97.06,96.53,97.07,96.08,5.88M
"Jan 25, 2019",96.94,98.75,98.91,96.75,7.22M
"Jan 24, 2019",98.36,98.2,98.46,96.43,7.61M
"Jan 23, 2019",98.71,98.87,99.35,97.53,8.35M
"Jan 22, 2019",97.49,97.15,98.43,96.78,8.06M
"Jan 18, 2019",97.73,96.95,98.2,96.85,6.12M
"Jan 17, 2019",96.74,96.32,97.21,96.16,5.61M
"Jan 16, 2019",96.35,95.93,96.86,95.83,5.41M
"Jan 15, 2019",96.25,95.47,96.6,95.38,7.06M
"Jan 14, 2019",94.95,94.48,95.45,94.28,7.09M
"Jan 11, 2019",94.84,94.99,95.29,94.55,5.39M
"Jan 10, 2019",94.96,93.88,94.98,93.12,9.40M
"Jan 09, 2019",94.89,95.71,96.14,94.77,6.27M
"Jan 08, 2019",95.2,95.06,95.75,93.91,7.20M
"Jan 07, 2019",94.54,93.62,95.17,93.18,7.79M
"Jan 04, 2019",93.44,93.21,93.66,92.69,8.03M
"Jan 03, 2019",92.86,93.21,94.71,92.7,8.28M
"Jan 02, 2019",93.34,91.64,93.65,91.64,8.15M
"Dec 31, 2018",93.15,92.67,93.39,92.25,7.01M
"Dec 28, 2018",92.13,92.07,93.47,91.64,9.87M
"Dec 27, 2018",91.59,89.75,91.61,88.44,9.88M
"Dec 26, 2018",90.41,86.42,90.42,86.3,10.03M
"Dec 24, 2018",85.82,86.54,87.56,85.78,6.11M
"Dec 21, 2018",87.13,86.87,89.47,86.8,14.92M
"Dec 20, 2018",87.28,90.11,90.11,86.14,16.37M
"Dec 19, 2018",90.55,91.29,93.0,90.25,12.23M
"Dec 18, 2018",91.08,90.8,91.26,90.28,9.61M
"Dec 17, 2018",90.77,91.22,92.01,90.16,9.00M
"Dec 14, 2018",91.85,92.05,92.56,91.57,11.49M
"Dec 13, 2018",92.96,93.25,93.68,92.43,8.04M
"Dec 12, 2018",93.11,94.3,94.3,93.06,9.64M
"Dec 11, 2018",93.85,94.25,94.49,93.25,6.45M
"Dec 10, 2018",93.94,93.56,94.25,92.34,7.28M
"Dec 07, 2018",93.19,94.5,95.13,92.45,8.50M
"Dec 06, 2018",94.77,94.94,95.41,93.1,10.37M
"Dec 04, 2018",95.81,98.25,98.96,95.61,10.43M
"Dec 03, 2018",98.75,98.02,99.59,97.67,9.08M
"Nov 30, 2018",97.65,97.4,98.43,97.07,10.66M
"Nov 29, 2018",97.29,97.02,97.83,96.74,6.24M
"Nov 28, 2018",97.46,95.45,97.62,95.05,10.07M
"Nov 27, 2018",95.04,94.99,95.54,94.41,9.04M
"Nov 26, 2018",95.15,95.69,96.07,94.74,10.03M
"Nov 23, 2018",95.1,94.13,95.55,94.13,4.89M
"Nov 21, 2018",94.17,94.36,94.92,93.31,9.35M
"Nov 20, 2018",94.16,94.98,95.2,93.6,12.62M
"Nov 19, 2018",96.78,97.94,98.25,96.43,9.21M
"Nov 16, 2018",97.69,98.82,99.42,96.92,14.24M
"Nov 15, 2018",99.54,102.32,102.8,98.62,16.08M
"Nov 14, 2018",101.53,103.0,103.15,101.01,10.48M
"Nov 13, 2018",102.94,103.67,104.15,102.54,7.96M
"Nov 12, 2018",103.87,105.5,106.21,103.65,8.94M
"Nov 09, 2018",105.56,105.0,105.9,104.81,8.45M
"Nov 08, 2018",104.88,104.33,105.26,104.03,5.96M
"Nov 07, 2018",104.32,103.66,104.47,103.05,8.67M
"Nov 06, 2018",103.33,102.54,103.44,102.05,6.37M
"Nov 05, 2018",102.91,101.19,103.17,100.63,7.62M
"Nov 02, 2018",101.34,100.88,101.57,100.31,7.30M
"Nov 01, 2018",100.58,99.96,101.17,99.72,7.74M
"Oct 31, 2018",100.28,102.49,102.49,100.11,12.35M
"Oct 30, 2018",102.42,100.21,102.6,100.06,12.71M
"Oct 29, 2018",99.8,99.51,101.73,99.09,12.71M
"Oct 26, 2018",98.94,98.81,99.67,98.02,14.93M
"Oct 25, 2018",99.18,98.01,99.48,97.0,10.74M
"Oct 24, 2018",97.56,97.5,99.17,97.28,10.36M
"Oct 23, 2018",97.8,96.5,97.98,96.11,9.41M
"Oct 22, 2018",97.14,97.34,97.58,96.74,7.12M
"Oct 19, 2018",97.15,96.0,97.65,96.0,8.95M
"Oct 18, 2018",96.17,96.4,97.25,95.74,11.40M
"Oct 17, 2018",96.56,95.18,96.62,94.9,9.54M
"Oct 16, 2018",95.81,94.7,96.07,94.34,11.24M
"Oct 15, 2018",93.82,94.5,94.99,93.82,8.31M
"Oct 12, 2018",94.81,94.76,95.17,93.67,8.55M
"Oct 11, 2018",93.92,95.81,96.29,93.6,9.93M
"Oct 10, 2018",95.76,96.6,97.85,95.7,9.00M
"Oct 09, 2018",97.08,95.64,97.74,95.19,11.60M
"Oct 08, 2018",94.69,93.25,94.93,93.02,5.76M
"Oct 05, 2018",93.31,93.86,94.19,92.89,6.69M
"Oct 04, 2018",94.21,94.07,94.5,93.2,6.05M
"Oct 03, 2018",94.07,95.5,95.54,94.04,6.33M
"Oct 02, 2018",95.15,93.93,95.61,93.85,7.75M
"Oct 01, 2018",94.4,94.29,94.66,94.04,5.00M
"Sep 28, 2018",93.91,94.28,94.37,93.69,6.31M
"Sep 27, 2018",94.13,94.19,94.96,93.82,5.36M
"Sep 26, 2018",94.59,95.1,95.58,94.52,5.92M
