,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
66,2019-07-23,112.09,113.12,113.2,111.56,5750000.0,2019,7,644517500.0,0.0803571428571459,Slight or No Change
67,2019-07-22,112.82,114.1,114.34,112.32,4520000.0,2019,7,509946399.99999994,0.6512623784458826,Slight positive
68,2019-07-19,113.9,115.0,115.31,113.86,3800000.0,2019,7,432820000.0,0.9572770785321927,Slight positive
69,2019-07-18,114.72,114.35,114.78,113.74,3220000.0,2019,7,369398400.0,0.7199297629499446,Slight positive
70,2019-07-17,114.6,114.81,115.17,114.2,2690000.0,2019,7,308274000.0,-0.10460251046024993,Slight or No Change
71,2019-07-16,114.76,115.33,115.49,114.04,3490000.0,2019,7,400512400.0,0.13961605584642545,Slight or No Change
72,2019-07-15,114.98,114.67,115.08,114.45,3350000.0,2019,7,385183000.0,0.19170442662947984,Slight or No Change
73,2019-07-12,114.6,114.09,114.77,113.62,3740000.0,2019,7,428604000.0,-0.3304922595234072,Slight or No Change
74,2019-07-11,113.92,113.34,113.94,113.02,3900000.0,2019,7,444288000.0,-0.5933682373472915,Slight negative
75,2019-07-10,112.98,113.12,113.61,112.39,4580000.0,2019,7,517448400.0,-0.8251404494381998,Slight negative
76,2019-07-09,112.88,112.89,113.38,112.6,5420000.0,2019,7,611809600.0,-0.08851124092760232,Slight or No Change
77,2019-07-08,112.72,111.92,112.93,111.7,4720000.0,2019,7,532038400.0,-0.14174344436569397,Slight or No Change
78,2019-07-05,111.98,112.0,112.24,111.21,3580000.0,2019,7,400888400.0,-0.6564939673527226,Slight negative
79,2019-07-03,112.32,111.18,112.4,111.0,3210000.0,2019,7,360547200.0,0.3036256474370225,Slight or No Change
80,2019-07-02,111.6,110.83,111.61,110.34,4059999.9999999995,2019,7,453095999.99999994,-0.6410256410256387,Slight negative
81,2019-07-01,110.62,111.3,111.97,110.02,5520000.0,2019,7,610622400.0,-0.8781362007168392,Slight negative
82,2019-06-28,110.49,110.55,111.5,110.24,6510000.0,2019,6,719289900.0,-0.11751943590672109,Slight or No Change
83,2019-06-27,110.1,110.06,110.51,108.86,5480000.0,2019,6,603348000.0,-0.35297311973934153,Slight or No Change
84,2019-06-26,110.16,110.85,111.08,110.1,4160000.0,2019,6,458265600.0,0.054495912806551416,Slight or No Change
85,2019-06-25,110.72,110.88,111.43,110.4,6110000.0,2019,6,676499200.0,0.5083514887436413,Slight positive
86,2019-06-24,111.24,111.49,112.22,111.03,6030000.0,2019,6,670777200.0,0.46965317919074323,Slight or No Change
87,2019-06-21,111.13,110.34,112.19,110.26,13180000.0,2019,6,1464693400.0,-0.09888529306004701,Slight or No Change
88,2019-06-20,110.32,109.82,110.49,109.28,5000000.0,2019,6,551600000.0,-0.7288760910645231,Slight negative
89,2019-06-19,109.62,109.8,109.84,108.87,3920000.0,2019,6,429710400.0,-0.6345177664974555,Slight negative
90,2019-06-18,109.65,109.8,109.96,108.91,4910000.0,2019,6,538381500.0,0.027367268746569806,Slight or No Change
91,2019-06-17,109.16,109.12,109.55,108.26,4150000.0000000005,2019,6,453014000.00000006,-0.446876424988607,Slight or No Change
92,2019-06-14,109.07,108.78,109.59,108.46,4530000.0,2019,6,494087099.99999994,-0.08244778307072709,Slight or No Change
93,2019-06-13,108.65,109.0,109.58,108.17,5480000.0,2019,6,595402000.0,-0.3850738058127745,Slight or No Change
94,2019-06-12,108.82,107.92,108.91,107.92,4640000.0,2019,6,504924799.99999994,0.15646571560055111,Slight or No Change
95,2019-06-11,107.94,108.0,108.97,107.75,6750000.0,2019,6,728595000.0,-0.8086748759419171,Slight negative
96,2019-06-10,107.52,106.48,107.78,106.37,6330000.0,2019,6,680601600.0,-0.3891050583657574,Slight or No Change
97,2019-06-07,106.06,105.23,106.36,105.05,6810000.0,2019,6,722268600.0,-1.3578869047618958,Negative
98,2019-06-06,105.11,104.49,105.66,104.2,8060000.000000001,2019,6,847186600.0000001,-0.895719404110884,Slight negative
99,2019-06-05,104.42,102.75,104.78,102.6,6900000.0,2019,6,720498000.0,-0.6564551422319487,Slight negative
100,2019-06-04,102.56,102.61,102.65,101.44,5970000.0,2019,6,612283200.0,-1.7812679563302014,Negative
101,2019-06-03,101.96,101.63,102.68,101.4,6610000.0,2019,6,673955600.0,-0.5850234009360467,Slight negative
102,2019-05-31,101.44,101.35,102.02,100.6,5930000.0,2019,5,601539200.0,-0.5100039231070941,Slight negative
103,2019-05-30,102.19,102.49,103.49,101.91,5020000.0,2019,5,512993800.0,0.7393533123028373,Slight positive
104,2019-05-29,102.12,102.11,102.88,101.47,6520000.0,2019,5,665822400.0,-0.06849985321459862,Slight or No Change
105,2019-05-28,102.42,102.56,103.57,102.4,10270000.0,2019,5,1051853400.0,0.2937720329024618,Slight or No Change
106,2019-05-24,102.67,102.18,102.89,102.08,4480000.0,2019,5,459961600.0,0.24409295059557579,Slight or No Change
107,2019-05-23,101.86,101.82,101.93,100.93,6450000.0,2019,5,656997000.0,-0.7889354241745417,Slight negative
108,2019-05-22,102.23,101.6,102.43,101.06,7340000.0,2019,5,750368200.0,0.3632436677793116,Slight or No Change
109,2019-05-21,101.12,101.51,101.65,100.4,6890000.0,2019,5,696716800.0,-1.085786950992862,Negative
110,2019-05-20,101.52,100.39,101.98,100.25,7190000.0,2019,5,729928800.0,0.39556962025315556,Slight or No Change
111,2019-05-17,100.86,100.24,101.95,99.91,12370000.0,2019,5,1247638200.0,-0.6501182033096908,Slight negative
112,2019-05-16,101.31,102.83,103.96,100.84,17120000.0,2019,5,1734427200.0,0.4461629982153603,Slight or No Change
113,2019-05-15,99.88,100.2,100.36,99.13,6740000.0,2019,5,673191200.0,-1.4115092290988174,Negative
114,2019-05-14,100.29,100.14,100.86,99.89,6350000.0,2019,5,636841500.0,0.410492591109346,Slight or No Change
115,2019-05-13,99.89,100.45,101.15,99.01,7360000.0,2019,5,735190400.0,-0.3988433542726155,Slight or No Change
116,2019-05-10,101.91,99.76,102.11,99.7,8740000.0,2019,5,890693400.0,2.022224446891574,Positive
117,2019-05-09,99.54,99.27,99.94,98.85,6240000.0,2019,5,621129600.0,-2.3255813953488302,Negative
118,2019-05-08,100.3,100.25,101.03,99.86,5880000.0,2019,5,589764000.0,0.763512155917212,Slight positive
119,2019-05-07,101.3,101.8,102.17,100.76,4580000.0,2019,5,463954000.0,0.9970089730807485,Slight positive
120,2019-05-06,102.46,100.75,102.55,100.54,4610000.0,2019,5,472340600.0,1.1451135241855814,Positive
